timestamp,action_type,hand_speed,leg_speed,movement_intensity,l_elbow_angle,r_elbow_angle,l_hand_speed,r_hand_speed
0.0,guard_position,0.0,0.0,0.0,78.67,90.98,0.0,0.0
0.0334,punch_right,3.8005,0.3702,2.0854,79.35,171.09,0.1495,3.8005
0.0667,punch_right,7.4008,0.4102,3.9055,156.97,164.23,3.7795,7.4008
0.1001,kick_low,2.9267,0.9913,1.959,65.66,167.94,2.9267,2.4269
0.1335,punch_right,2.065,0.6584,1.3617,95.32,154.69,1.4994,2.065
0.1669,punch_right,1.3035,0.2563,0.7799,96.6,137.76,0.607,1.3035
0.2002,punch_right,2.416,0.1616,1.2888,99.58,108.25,0.8822,2.416
0.2336,backward_movement,0.172,0.1739,0.173,91.54,103.31,0.1362,0.172
0.267,backward_movement,0.5052,0.1353,0.3202,80.08,103.04,0.2337,0.5052
0.3003,backward_movement,0.378,0.1656,0.2718,75.15,102.73,0.3074,0.378
0.3337,backward_movement,0.6182,0.1789,0.3986,69.84,95.01,0.27,0.6182
0.3671,guard_position,0.6208,0.0705,0.3456,66.11,85.91,0.102,0.6208
0.4005,guard_position,1.228,0.181,0.7045,58.34,70.82,0.4414,1.228
0.4338,guard_position,0.5601,0.1996,0.3799,52.82,77.88,0.2859,0.5601
0.4672,backward_movement,0.349,0.1949,0.2719,54.79,82.76,0.0828,0.349
0.5006,forward_movement,0.8791,0.1087,0.4939,53.09,73.86,0.0651,0.8791
0.5339,guard_position,0.4141,0.4469,0.4305,50.75,71.16,0.0906,0.4141
0.5673,guard_position,0.7002,0.5216,0.6109,50.81,87.95,0.059,0.7002
0.6007,guard_position,0.3242,0.1321,0.2282,48.39,88.88,0.0303,0.3242
0.6341,forward_movement,0.8003,0.1642,0.4822,56.7,87.25,0.3435,0.8003
0.6674,guard_position,0.4082,0.0919,0.2501,59.06,91.5,0.1822,0.4082
0.7008,guard_position,0.6879,0.2121,0.45,59.74,84.65,0.0602,0.6879
0.7342,forward_movement,0.5852,0.1337,0.3594,58.68,91.72,0.2357,0.5852
0.7675,forward_movement,0.2946,0.0999,0.1972,56.74,81.9,0.1378,0.2946
0.8009,guard_position,0.2672,0.0677,0.1674,54.91,80.51,0.0595,0.2672
0.8343,backward_movement,0.312,0.0877,0.1998,53.01,78.82,0.1844,0.312
0.8677,forward_movement,0.2015,0.092,0.1468,51.17,81.59,0.1268,0.2015
0.901,guard_position,0.1996,0.1016,0.1506,49.11,85.05,0.0853,0.1996
0.9344,backward_movement,0.5464,0.2051,0.3758,50.76,79.98,0.122,0.5464
0.9678,guard_position,0.4812,0.0955,0.2883,49.18,88.56,0.0416,0.4812
1.0011,backward_movement,0.1843,0.0519,0.1181,55.48,87.77,0.1149,0.1843
1.0345,forward_movement,0.9723,0.054,0.5132,48.33,102.55,0.2092,0.9723
1.0679,forward_movement,1.0685,0.087,0.5777,52.88,81.15,0.2624,1.0685
1.1013,backward_movement,0.274,0.1006,0.1873,50.76,84.75,0.1667,0.274
1.1346,forward_movement,0.4358,0.3529,0.3944,48.64,87.21,0.0781,0.4358
1.168,guard_position,0.7736,0.0571,0.4154,45.94,87.44,0.0581,0.7736
1.2014,backward_movement,0.1334,0.3637,0.2486,45.69,89.87,0.0154,0.1334
1.2348,kick_low,0.1932,5.71,2.9516,48.06,80.52,0.0833,0.1932
1.2681,kick_low,0.3067,5.7787,3.0427,49.53,88.76,0.0444,0.3067
1.3015,guard_position,0.4284,0.1217,0.2751,50.56,90.49,0.0356,0.4284
1.3349,guard_position,1.423,0.0356,0.7293,56.79,67.65,0.0736,1.423
1.3682,guard_position,0.9898,0.1111,0.5505,54.5,86.11,0.089,0.9898
1.4016,guard_position,0.16,0.1182,0.1391,52.04,88.33,0.0167,0.16
1.435,guard_position,0.34,0.2323,0.2861,56.17,83.81,0.1557,0.34
1.4684,backward_movement,0.4227,0.0915,0.2571,49.21,90.61,0.4227,0.3658
1.5017,forward_movement,0.3526,0.1218,0.2372,57.77,87.15,0.1471,0.3526
1.5351,guard_position,1.9554,0.106,1.0307,58.14,96.67,0.3764,1.9554
1.5685,punch_right,1.7699,0.0789,0.9244,56.87,150.7,0.0681,1.7699
1.6018,forward_movement,1.081,0.2967,0.6889,48.8,136.89,0.2227,1.081
1.6352,forward_movement,0.7696,0.1631,0.4664,42.97,136.25,0.1977,0.7696
1.6686,guard_position,1.8925,0.1966,1.0446,35.13,69.68,0.094,1.8925
1.702,forward_movement,0.2142,0.3007,0.2574,27.32,75.61,0.1781,0.2142
1.7353,forward_movement,0.326,0.187,0.2565,24.06,72.46,0.326,0.1798
1.7687,punch_right,1.4685,0.2242,0.8464,24.95,130.91,0.1316,1.4685
1.8021,backward_movement,0.8228,0.4311,0.6269,23.48,85.69,0.2997,0.8228
1.8354,backward_movement,0.1805,0.3692,0.2749,26.9,92.54,0.1408,0.1805
1.8688,guard_position,1.486,0.3827,0.9343,32.42,97.92,0.156,1.486
1.9022,guard_position,0.0966,0.1429,0.1197,33.05,92.5,0.0966,0.0477
1.9356,punch_right,2.0846,0.2319,1.1582,28.16,118.77,0.1526,2.0846
1.9689,guard_position,1.1448,0.1026,0.6237,32.3,101.54,0.1174,1.1448
2.0023,backward_movement,0.9288,0.1907,0.5597,31.0,120.2,0.1487,0.9288
2.0357,kick_low,0.6411,1.211,0.926,33.55,77.68,0.1983,0.6411
2.069,kick_low,0.8316,1.5637,1.1977,38.84,28.97,0.1619,0.8316
2.1024,kick_low,1.8988,2.8909,2.3949,40.11,168.66,0.0969,1.8988
2.1358,backward_movement,0.6927,0.186,0.4393,41.4,160.41,0.1504,0.6927
2.1692,forward_movement,0.1457,0.0989,0.1223,42.48,166.63,0.1457,0.094
2.2025,guard_position,0.1975,0.1192,0.1583,46.95,179.63,0.1975,0.1195
