timestamp,action_type,hand_speed,leg_speed,movement_intensity,l_elbow_angle,r_elbow_angle,l_hand_speed,r_hand_speed
0.0,guard_position,0.0,0.0,0.0,78.64,112.28,0.0,0.0
0.0334,kick_low,2.3827,1.9615,2.1721,18.54,107.81,2.3827,0.5845
0.0667,guard_position,1.187,0.6643,0.9257,26.74,95.23,1.187,0.1684
0.1001,guard_position,2.4851,0.7307,1.6079,36.25,45.03,0.8267,2.4851
0.1335,guard_position,3.865,0.6405,2.2528,54.92,14.63,0.9095,3.865
0.1669,guard_position,1.6147,0.0964,0.8555,34.79,30.05,1.6147,1.4345
0.2002,backward_movement,0.637,0.2732,0.4551,28.61,35.52,0.637,0.5447
0.2336,guard_position,1.2936,0.2192,0.7564,2.62,35.21,1.2936,0.3812
0.267,guard_position,1.3813,0.2954,0.8383,15.95,28.43,1.3813,0.5779
0.3003,backward_movement,0.661,0.1655,0.4132,32.82,16.7,0.653,0.661
0.3337,kick_low,0.7204,0.9648,0.8426,62.18,23.53,0.7204,0.2584
0.3671,forward_movement,0.7149,0.5417,0.6283,48.4,18.07,0.7149,0.4709
0.4005,guard_position,0.9792,0.3402,0.6597,37.22,14.01,0.8383,0.9792
0.4338,guard_position,1.4312,0.4558,0.9435,24.13,4.12,0.5522,1.4312
0.4672,guard_position,1.0152,0.5559,0.7856,11.17,30.55,0.8462,1.0152
0.5006,backward_movement,0.5873,0.2981,0.4427,21.34,37.05,0.5873,0.3496
0.5339,forward_movement,0.6945,0.488,0.5912,31.12,52.72,0.5915,0.6945
0.5673,backward_movement,0.3894,0.4615,0.4255,22.15,52.84,0.109,0.3894
0.6007,forward_movement,0.7136,0.2958,0.5047,22.19,57.79,0.103,0.7136
0.6341,forward_movement,0.4006,0.1011,0.2508,12.87,60.24,0.4006,0.2468
0.6674,forward_movement,0.7658,0.316,0.5409,31.38,55.12,0.3975,0.7658
0.7008,guard_position,0.7424,0.3025,0.5224,36.07,63.02,0.5553,0.7424
0.7342,forward_movement,0.326,0.2219,0.274,40.92,51.32,0.326,0.325
0.7675,forward_movement,0.6134,0.3902,0.5018,35.17,59.9,0.1589,0.6134
0.8009,forward_movement,0.3051,0.7169,0.511,31.26,35.21,0.1007,0.3051
0.8343,backward_movement,0.5684,0.3616,0.465,42.68,51.31,0.5684,0.5343
0.8677,forward_movement,0.616,0.1829,0.3994,38.85,64.07,0.4621,0.616
0.901,backward_movement,0.4193,0.3513,0.3853,27.7,81.66,0.4193,0.3129
0.9344,forward_movement,0.9304,0.2376,0.584,38.62,49.18,0.4879,0.9304
0.9678,forward_movement,0.2979,0.2853,0.2916,44.19,49.03,0.2979,0.1682
1.0011,guard_position,0.4842,0.1546,0.3194,40.53,66.13,0.2039,0.4842
1.0345,guard_position,0.4112,0.3602,0.3857,38.28,77.37,0.4112,0.1604
1.0679,backward_movement,0.3249,0.4667,0.3958,34.73,55.94,0.112,0.3249
1.1013,guard_position,1.4849,0.1239,0.8044,39.94,29.31,0.3719,1.4849
1.1346,backward_movement,0.1995,0.065,0.1323,40.71,33.66,0.07,0.1995
1.168,backward_movement,0.1895,0.2741,0.2318,43.97,27.2,0.123,0.1895
1.2014,backward_movement,0.6772,0.2362,0.4567,39.77,25.91,0.3338,0.6772
1.2348,forward_movement,0.7937,0.2408,0.5173,41.63,42.16,0.2943,0.7937
1.2681,kick_low,0.2435,1.1389,0.6912,36.09,46.18,0.2435,0.1231
1.3015,kick_low,0.4735,1.2018,0.8376,33.36,53.79,0.2008,0.4735
1.3349,forward_movement,0.5577,0.3533,0.4555,44.42,54.92,0.5577,0.2887
1.3682,guard_position,1.4943,0.1725,0.8334,53.31,79.75,0.2841,1.4943
1.4016,guard_position,1.1773,0.2172,0.6972,47.62,96.59,0.2434,1.1773
1.435,forward_movement,0.7159,0.3262,0.521,38.19,113.36,0.5004,0.7159
1.4684,punch_right,1.9675,0.3284,1.148,52.13,128.05,0.882,1.9675
1.5017,forward_movement,0.8506,0.0439,0.4473,35.52,166.14,0.8506,0.308
1.5351,guard_position,1.1301,0.6604,0.8952,56.98,168.2,1.1301,0.4396
1.5685,guard_position,1.3346,0.3692,0.8519,19.99,173.57,1.3346,0.9468
1.6018,punch_right,1.9197,0.4876,1.2036,8.39,170.86,1.0669,1.9197
1.6352,guard_position,2.0612,0.5222,1.2917,43.76,167.4,2.0612,0.781
1.6686,backward_movement,0.4822,0.424,0.4531,38.24,126.27,0.3688,0.4822
1.702,guard_position,2.0897,0.3128,1.2012,61.85,104.42,1.0357,2.0897
1.7353,punch_left,1.2356,0.3891,0.8124,106.47,102.28,1.2356,0.3837
1.7687,backward_movement,0.3996,0.1449,0.2722,130.27,82.77,0.3996,0.2147
1.8021,punch_left,2.9951,0.3567,1.6759,150.36,98.55,2.9951,1.5557
1.8354,forward_movement,0.9479,0.7755,0.8617,153.23,44.32,0.6313,0.9479
1.8688,guard_position,1.7147,0.3314,1.023,153.72,1.15,0.2943,1.7147
1.9022,forward_movement,0.3882,0.3329,0.3606,151.75,4.44,0.3073,0.3882
1.9356,punch_left,1.6917,0.2145,0.9531,130.39,2.54,1.6917,0.4467
1.9689,guard_position,1.595,0.605,1.1,58.96,33.62,1.595,1.2487
2.0023,guard_position,1.2701,0.2448,0.7575,73.74,36.23,0.6947,1.2701
2.0357,guard_position,1.4142,0.212,0.8131,46.29,83.63,0.7659,1.4142
2.069,guard_position,1.2539,0.2713,0.7626,12.39,84.85,1.2539,0.9937
2.1024,guard_position,1.8574,0.3476,1.1025,21.98,96.19,1.8574,1.0072
2.1358,backward_movement,0.4007,0.2961,0.3484,0.02,90.19,0.4007,0.2421
2.1692,backward_movement,0.3887,0.17,0.2794,3.25,86.89,0.3017,0.3887
2.2025,guard_position,1.3194,0.2415,0.7804,17.3,74.92,1.3194,0.1943
2.2359,forward_movement,0.9855,0.184,0.5847,0.64,70.69,0.9855,0.1152
2.2693,forward_movement,0.8204,0.2624,0.5414,19.74,58.77,0.8204,0.2089
2.3026,forward_movement,0.9704,0.5485,0.7594,15.79,48.36,0.4227,0.9704
2.336,forward_movement,0.415,0.4096,0.4123,10.86,34.21,0.3682,0.415
2.3694,forward_movement,0.5661,0.1064,0.3362,5.76,79.19,0.2694,0.5661
2.4028,punch_right,2.4328,0.2241,1.3285,25.55,179.1,0.6597,2.4328
2.4361,guard_position,1.4854,0.2306,0.858,30.25,75.27,0.5872,1.4854
2.4695,guard_position,1.2871,0.3906,0.8389,29.56,65.22,0.1734,1.2871
2.5029,guard_position,1.9175,0.1884,1.053,24.15,50.91,0.2373,1.9175
2.5362,forward_movement,0.9134,0.2083,0.5609,32.95,44.05,0.3016,0.9134
2.5696,guard_position,2.0604,0.3664,1.2134,34.52,29.14,0.0873,2.0604
2.603,punch_right,5.004,0.1292,2.5666,22.3,131.33,0.3255,5.004
2.6364,punch_right,2.2411,0.1883,1.2147,28.44,163.38,0.7792,2.2411
2.6697,guard_position,3.6704,0.1481,1.9093,33.02,46.32,0.5461,3.6704
2.7031,kick_low,1.6415,1.5501,1.5958,64.26,52.93,1.6415,0.4027
2.7365,guard_position,2.5536,0.2718,1.4127,19.64,62.56,2.5536,0.5165
2.7698,backward_movement,0.3067,0.2878,0.2972,31.03,55.31,0.3067,0.2312
2.8032,backward_movement,0.9119,0.1285,0.5202,21.37,52.16,0.9119,0.7316
2.8366,backward_movement,0.7285,0.1683,0.4484,25.88,59.95,0.2554,0.7285
2.87,guard_position,1.1377,0.374,0.7559,32.32,86.78,0.2898,1.1377
2.9033,guard_position,3.346,0.5094,1.9277,69.92,36.93,1.9237,3.346
2.9367,kick_low,2.2117,1.4567,1.8342,24.93,56.5,0.8076,2.2117
2.9701,backward_movement,0.6016,0.3924,0.497,33.07,83.54,0.2132,0.6016
3.0034,punch_right,2.6766,0.2419,1.4592,72.28,108.37,1.4391,2.6766
3.0368,punch_right,3.3903,0.522,1.9562,98.99,125.1,3.089,3.3903
3.0702,guard_position,3.0519,0.7469,1.8994,25.79,61.93,1.7522,3.0519
3.1036,kick_low,3.7226,2.2241,2.9734,125.91,20.73,1.3995,3.7226
3.1369,guard_position,5.5916,0.7502,3.1709,2.55,153.24,5.5916,4.2806
3.1703,punch_right,2.7209,0.3015,1.5112,33.21,120.91,1.3239,2.7209
3.2037,guard_position,3.6968,0.5962,2.1465,13.23,53.34,0.9172,3.6968
3.2371,backward_movement,0.6888,0.5028,0.5958,24.35,38.88,0.3406,0.6888
3.2704,guard_position,1.6829,0.4706,1.0768,50.4,43.67,1.6829,0.5947
3.3038,forward_movement,0.5883,0.4498,0.519,52.84,61.33,0.5883,0.5768
3.3372,backward_movement,0.1411,0.1401,0.1406,57.84,64.72,0.1411,0.1348
3.3705,guard_position,1.3228,0.3966,0.8597,49.89,45.74,0.6287,1.3228
3.4039,guard_position,1.373,0.2961,0.8346,55.46,68.62,0.8187,1.373
3.4373,guard_position,1.25,0.2923,0.7712,33.77,74.59,1.25,0.4524
3.4707,guard_position,0.2615,0.2158,0.2387,30.38,66.14,0.1801,0.2615
3.504,forward_movement,0.3812,0.6274,0.5043,26.4,56.75,0.3028,0.3812
3.5374,guard_position,0.5816,0.2862,0.4339,23.29,55.09,0.0812,0.5816
3.5708,kick_low,0.3146,1.9929,1.1538,13.29,54.3,0.3146,0.2014
3.6041,backward_movement,0.5746,0.1769,0.3757,23.47,48.96,0.5746,0.3047
3.6375,guard_position,0.3447,0.352,0.3484,24.43,50.64,0.3447,0.0536
3.6709,forward_movement,0.5309,0.385,0.4579,17.83,50.79,0.5309,0.1332
3.7043,forward_movement,0.6176,0.8416,0.7296,24.16,47.71,0.2292,0.6176
3.7376,forward_movement,0.8406,0.7652,0.8029,22.64,45.47,0.8406,0.5622
3.771,kick_low,0.5693,1.251,0.9101,19.34,39.29,0.2981,0.5693
3.8044,backward_movement,0.2469,0.276,0.2615,20.37,58.73,0.1291,0.2469
3.8377,forward_movement,0.714,0.1513,0.4326,34.79,60.14,0.714,0.4582
3.8711,forward_movement,1.0122,0.1061,0.5592,47.72,68.36,1.0122,0.3607
3.9045,forward_movement,0.5286,0.4778,0.5032,44.36,68.55,0.2267,0.5286
3.9379,punch_right,2.179,0.12,1.1495,29.76,132.17,1.0395,2.179
3.9712,forward_movement,0.7031,0.235,0.469,23.02,162.94,0.4759,0.7031
4.0046,punch_right,3.9145,0.0928,2.0037,19.51,162.54,0.2282,3.9145
4.038,forward_movement,0.6253,0.2112,0.4183,28.22,169.24,0.6253,0.3538
4.0713,punch_right,1.2696,0.5324,0.901,12.5,161.35,0.4549,1.2696
4.1047,punch_right,1.5592,0.3282,0.9437,15.61,160.47,0.5004,1.5592
4.1381,backward_movement,0.8827,0.3212,0.602,26.46,171.57,0.7165,0.8827
4.1715,guard_position,3.5352,0.1563,1.8457,44.35,92.07,1.2991,3.5352
4.2048,punch_right,1.5813,0.1444,0.8628,52.72,114.49,0.4352,1.5813
4.2382,punch_left,2.2192,0.2478,1.2335,106.96,131.14,2.2192,1.767
4.2716,punch_right,1.7032,0.2448,0.974,149.61,111.52,0.9972,1.7032
4.3049,backward_movement,0.7239,0.2208,0.4724,164.11,105.04,0.7239,0.3801
4.3383,backward_movement,0.5477,0.3779,0.4628,165.66,100.48,0.5477,0.534
4.3717,forward_movement,0.5365,0.5994,0.568,159.57,72.59,0.5215,0.5365
4.4051,forward_movement,0.5189,0.5534,0.5361,143.89,86.27,0.5189,0.2864
4.4384,punch_left,1.2499,0.1568,0.7033,130.69,88.98,1.2499,0.1317
4.4718,guard_position,1.4744,0.3707,0.9226,95.79,80.17,1.4744,0.7341
4.5052,guard_position,1.129,0.5261,0.8276,54.74,85.23,1.129,0.9385
4.5385,punch_right,1.898,0.481,1.1895,26.63,134.63,1.1974,1.898
4.5719,backward_movement,1.0382,0.1697,0.604,5.24,162.35,1.0382,0.8095
4.6053,forward_movement,0.769,0.3004,0.5347,34.12,167.27,0.769,0.5505
4.6387,guard_position,1.3249,0.1525,0.7387,11.82,178.11,1.3249,0.3983
4.672,backward_movement,0.6135,0.233,0.4233,5.81,175.39,0.6135,0.3072
4.7054,backward_movement,1.0196,0.274,0.6468,14.93,171.45,1.0196,0.5466
4.7388,backward_movement,0.529,0.3146,0.4218,5.96,166.16,0.529,0.4073
4.7721,punch_right,1.7365,0.4844,1.1104,26.69,108.78,1.2837,1.7365
4.8055,guard_position,2.8658,0.2419,1.5538,52.69,99.44,2.8658,0.6286
4.8389,forward_movement,0.8703,0.0777,0.474,51.67,96.9,0.2687,0.8703
4.8723,backward_movement,0.4431,0.131,0.2871,51.62,103.4,0.2143,0.4431
4.9056,forward_movement,0.7641,0.4216,0.5929,32.81,80.03,0.3103,0.7641
4.939,guard_position,0.9503,0.3829,0.6666,28.54,59.46,0.2023,0.9503
4.9724,guard_position,1.6393,0.7099,1.1746,25.91,37.51,0.2324,1.6393
5.0057,kick_low,0.4015,0.9548,0.6782,24.2,39.12,0.4015,0.3156
5.0391,kick_low,0.7479,1.0495,0.8987,21.08,47.7,0.7479,0.547
5.0725,kick_low,1.9058,2.7464,2.3261,33.79,29.95,1.9058,0.8021
5.1059,guard_position,1.9754,0.2071,1.0912,71.4,24.93,1.9754,1.42
5.1392,kick_low,3.0399,1.9653,2.5026,19.75,75.62,1.4818,3.0399
5.1726,kick_low,6.2797,0.9162,3.5979,12.13,178.8,0.4243,6.2797
5.206,kick_low,8.8588,2.2784,5.5686,134.99,107.67,8.8588,3.7692
5.2394,kick_low,8.5526,11.4733,10.013,165.28,71.49,3.169,8.5526
5.2727,kick_low,4.6899,3.1347,3.9123,134.89,156.66,1.9526,4.6899
5.3061,kick_low,4.6477,3.437,4.0423,137.97,101.82,4.6477,2.7627
5.3395,kick_low,3.5372,11.7925,7.6649,38.0,140.52,1.6226,3.5372
5.3728,kick_low,8.505,8.185,8.345,20.21,154.6,8.505,3.1524
5.4062,kick_low,6.4264,4.9067,5.6666,146.01,130.88,6.4264,1.1271
5.4396,kick_low,9.7132,12.8129,11.263,104.97,176.04,6.3958,9.7132
5.473,kick_low,4.8229,8.9421,6.8825,103.51,106.94,3.4416,4.8229
5.5063,kick_low,5.8108,4.9482,5.3795,166.99,71.48,5.8108,3.025
5.5397,kick_low,28.1178,21.3619,24.7398,70.89,96.17,28.1178,13.4631
5.5731,guard_position,0.0,0.0,0.0,180.0,180.0,0.0,0.0
5.6064,kick_low,34.0328,29.9744,32.0036,45.43,74.36,34.0328,16.3382
5.6398,forward_movement,0.6386,0.5797,0.6092,39.23,78.57,0.1567,0.6386
5.6732,forward_movement,0.4643,0.3721,0.4182,47.59,64.2,0.4643,0.0251
5.7066,kick_low,0.2486,1.6272,0.9379,44.88,64.15,0.2486,0.1241
